employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
65438,Sales & Marketing,region_7,Master's & above,f,sourcing,1,35,5,8,1,0,49
65141,Operations,region_22,Bachelor's,m,other,1,30,5,4,0,0,60
7513,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,34,3,7,0,0,50
2542,Sales & Marketing,region_23,Bachelor's,m,other,2,39,1,10,0,0,50
48945,Technology,region_26,Bachelor's,m,other,1,45,3,2,0,0,73
58896,Analytics,region_2,Bachelor's,m,sourcing,2,31,3,7,0,0,85
20379,Operations,region_20,Bachelor's,f,other,1,31,3,5,0,0,59
16290,Operations,region_34,Master's & above,m,sourcing,1,33,3,6,0,0,63
73202,Analytics,region_20,Bachelor's,m,other,1,28,4,5,0,0,83
28911,Sales & Marketing,region_1,Master's & above,m,sourcing,1,32,5,5,1,0,54
29934,Technology,region_23,,m,sourcing,1,30,,1,0,0,77
49017,Sales & Marketing,region_7,Bachelor's,f,sourcing,1,35,5,3,1,0,50
60051,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,49,5,5,1,0,49
38401,Technology,region_29,Master's & above,m,other,2,39,3,16,0,0,80
77040,R&D,region_2,Master's & above,m,sourcing,1,37,3,7,0,0,84
43931,Operations,region_7,Bachelor's,m,other,1,37,1,10,0,0,60
7152,Technology,region_2,Bachelor's,m,other,1,38,3,5,1,0,77
9403,Sales & Marketing,region_31,Bachelor's,m,other,1,34,1,4,0,0,51
17436,Sales & Marketing,region_31,Bachelor's,m,other,1,34,5,8,1,0,46
